SN,Lat1,Long1,Lat2,Long2,
512,,,28.236626,79.450567,
513,,,28.344723,79.425289,
514,,,28.605876,79.490901,
515,,,28.704241,79.460443,
516,,,28.726369,79.48745,
517,,,28.2937226,79.3848538,
518,,,28.1988015,79.5394617,
519,,,28.6097429,79.6130029,
520,,,28.8021604,79.5055897,
521,,,28.7076108,79.3250958,
522,,,28.486646,79.1587456,
523,,,28.5457302,79.6506545,
524,,,28.2266144,79.1127574,
525,,,28.6580439,79.4764264,
526,,,28.4810127,79.4446052,
527,,,28.4474832,79.3540593,
528,,,28.2753762,79.1713328,
529,,,28.2783461,79.5131275,
530,,,28.325882,79.161528,
531,,,26.88145,82.727504,
532,,,26.7995822,82.7216728,
533,,,26.7620021,82.5785863,
534,,,26.790772,82.4764683,
535,,,26.83111,82.5583668,
536,,,26.7742616,82.74385,
537,,,26.6905835,82.8778619,
538,,,26.7354983,82.8877668,
539,,,26.8439067,82.2585584,
540,,,26.8495883,82.3599151,
541,,,26.7799517,82.3633965,
542,,,26.767254,82.627518,
543,,,26.750894,82.580635,
544,,,26.7813667,82.4430468,
545,,,26.858313,82.761177,
546,,,26.837965,82.798708,
547,,,26.7397367,82.4601768,
548,,,26.69459,82.4483184,
549,,,26.95429,82.7703568,
550,,,26.9790041,82.7517175,
551,,,27.0283602,82.8136203,
552,,,26.63382,82.898632,
553,,,26.604806,82.804262,
554,,,26.6146903,82.7968984,
555,,,26.685619,82.692181,
556,,,26.687504,82.688419,
557,,,26.7204748,82.7234369,
558,,,26.9297635,82.7113671,
559,,,27.037699,82.609858,
560,,,27.08154,82.5716301,
561,,,26.8909667,82.4611551,
562,,,26.905529,82.341418,
563,,,26.9051048,82.3373202,
564,,,26.8842633,82.6303201,
565,,,26.98481,82.6285551,
566,,,26.8852067,82.5250318,
567,,,26.857516,82.779471,
568,,,26.90682,82.573518,
569,,,26.6703433,82.6109334,
570,,,26.6411817,82.7028834,
571,,,27.0728117,82.7302801,
572,,,26.8109615,82.74606,
573,,,27.0191492,82.6658012,
574,,,27.0610689,82.6535317,
575,,,26.7917783,82.7185626,
576,,,27.0041417,82.8349884,
577,,,27.0230379,82.7946168,
578,,,26.7881168,82.477932,
579,,,26.7544783,82.3587568,
580,,,25.2347759,82.6209721,
581,,,25.3575356,82.6399828,
582,,,25.297106,82.297962,
583,,,25.300622,82.432338,
584,,,25.307608,82.369823,
585,,,25.337358,82.47037,
586,,,25.382151,82.569893,
587,,,25.2529688,82.4352854,
588,,,25.487081,82.401109,
589,,,25.452515,82.415992,
590,,,25.4583877,82.3283196,
591,,,25.4430013,82.3664237,
592,,,25.2519924,82.5436196,
593,,,25.3695641,82.5901898,
594,,,25.35949,82.461076,
595,,,29.1909028,78.5364295,
596,,,29.1018967,78.5824084,
597,,,29.16741,78.4820901,
598,,,29.0713617,78.3447168,
599,,,29.1250625,78.1220924,
600,,,29.278106,78.318797,
601,,,29.2385542,78.309926,
602,,,29.5447554,78.4867559,
603,,,29.6021979,78.4684284,
604,,,29.62705,78.388731,
605,,,29.587471,78.339562,
606,,,29.5194494,78.3568796,
607,,,29.352418,78.770584,
608,,,29.05702,78.329629,
609,,,29.329053,78.33675,
610,,,29.323616,78.417458,
611,,,29.36931,78.4664684,
612,,,29.390045,78.4472025,
613,,,29.305359,78.5787815,
614,,,29.440819,78.713962,
615,,,29.5373481,78.2465791,
616,,,29.395933,78.116842,
617,,,29.410537,78.095963,
618,,,29.381289,78.1489011,
619,,,29.1471627,78.1450717,
620,,,29.1468488,78.5133227,
621,,,29.4401587,78.4276745,
622,,,29.6582983,78.2528884,
623,,,28.389194,78.94279,
624,,,28.3932845,78.9081979,
625,,,28.3129436,78.927533,
626,,,28.2058049,79.0551891,
627,,,28.069066,78.7512619,
628,,,28.0252105,79.3949256,
629,,,28.070362,79.127447,
630,,,28.103238,79.135038,
631,,,28.2326483,78.8104234,
632,,,28.1276369,78.6831136,
633,,,28.1353521,78.6228465,
634,,,28.175248,78.935017,
635,,,28.0925665,79.4061175,
636,,,27.969876,79.236441,
637,,,27.9826803,79.20919,
638,,,27.8816221,79.2799208,
639,,,27.868377,79.330721,
640,,,27.8116184,79.3462574,
641,,,27.8198303,79.3575955,
642,,,28.335831,78.900707,
643,,,28.334332,78.715351,
644,,,28.320563,78.691619,
645,,,28.244971,79.011709,
646,,,27.880492,79.081468,
647,,,27.942772,79.080863,
648,,,28.003716,79.004907,
649,,,28.365317,79.022991,
650,,,28.090018,79.00251,
651,,,28.0154433,78.9620351,
652,,,28.02309,79.3429334,
653,,,28.120536,79.383132,
654,,,28.1372398,78.9132246,
655,,,28.3439622,78.9305756,
656,,,28.0572333,78.7497251,
657,,,28.3139887,78.9290078,
658,,,28.0647134,79.1233724,
659,,,28.0474287,79.3905756,
660,,,28.0110049,79.1444123,
661,,,28.460032,77.898396,
662,,,28.5235183,77.8963134,
663,,,28.2317444,77.864519,
664,,,28.27086,78.0267518,
665,,,28.4263159,77.8632373,
666,,,28.4071831,77.8912913,
667,,,28.4139787,78.0856004,
668,,,28.4487099,78.0643943,
669,,,28.38046,78.163075,
670,,,28.317898,78.231114,
671,,,28.1320333,78.1117034,
672,,,28.196847,78.254556,
673,,,28.1479956,78.1730028,
674,,,28.4758282,77.6729105,
675,,,28.439259,77.748659,
676,,,28.3496333,77.7671601,
677,,,28.424863,77.892697,
678,,,28.6593883,77.9432401,
679,,,28.5559444,78.1192397,
680,,,28.5272236,78.1362693,
681,,,28.458613,78.127865,
682,,,28.5805983,77.788007,
683,,,28.5769892,77.89229,
684,,,28.634035,77.977695,
685,,,28.5262417,77.9751268,
686,,,28.5744567,78.0124334,
687,,,28.58953,78.0663918,
688,,,28.6632392,78.036364,
689,,,28.2020007,77.8105416,
690,,,28.1471529,77.7352698,
691,,,28.1118955,77.9304291,
692,,,28.1294589,77.9196214,
693,,,28.1697527,78.0591624,
694,,,28.2509588,78.156962,
695,,,28.192058,78.20628,
696,,,28.1278714,78.2764809,
697,,,28.213445,78.299184,
698,,,28.239678,78.312675,
699,,,28.364607,77.9979922,
700,,,28.5125976,77.7625628,
701,,,28.5729624,77.8083411,
702,,,28.318954,77.9484,
703,,,28.293795,78.095303,
704,,,28.1281683,77.8983968,
705,,,28.340055,78.1956684,
706,,,28.4246633,78.1557851,
707,,,28.615454,77.912829,
708,,,28.443895,77.9615151,
709,,,28.3892475,77.8445667,
710,,,28.3926443,77.7485569,
711,,,28.4520035,77.7117874,
712,,,28.465408,77.737268,
713,,,28.2798346,78.0018169,
714,,,28.2151408,78.2093935,
715,,,28.597024,78.0288985,
716,,,28.1735783,77.8799234,
717,,,28.35174,78.261885,
718,,,25.259945,83.1495034,
719,,,25.2471533,83.2308718,
720,,,25.369867,83.29086,
721,,,25.40492,83.331001,
722,,,25.04889,83.2180229,
723,,,25.0623,83.3136718,
724,,,25.271775,83.144292,
725,,,25.127448,83.231239,
726,,,25.454178,83.159482,
727,,,24.8418088,83.2528889,
728,,,24.7827551,83.1615126,
729,,,25.321734,83.263843,
730,,,25.496195,83.262704,
731,,,25.2988333,83.4339951,
732,,,25.341505,83.5121484,
733,,,25.2844367,83.3469186,
734,,,25.078879,83.268417,
735,,,25.264825,83.266875,
736,,,25.2491774,83.1072094,
737,,,25.047269,83.2144863,
738,,,24.85242,83.254835,
739,,,25.1031549,83.2575703,
740,,,25.3509849,83.2558148,
741,,,25.2551901,83.2438786,
742,,,25.4445733,83.3420884,
743,,,25.33366,80.962674,
744,,,25.189918,80.869355,
745,,,25.2025791,80.9781755,
746,,,25.051012,81.090637,
747,,,25.2671181,81.3721187,
748,,,25.1628475,81.4489851,
749,,,25.2234404,80.92028,
750,,,25.3792885,81.1293752,
751,,,25.1886746,80.6905299,
752,,,25.056922,81.094635,
753,,,25.266598,81.3703176,
754,,,25.1848385,81.4423503,
755,,,26.278955,83.7244517,
756,,,26.4565252,83.6106277,
757,,,26.5560355,83.7334137,
758,,,26.2639116,83.9042559,
759,,,26.2625419,84.154985,
760,,,26.371627,84.167307,
761,,,26.4131886,83.9314675,
762,,,26.3492854,83.94459,
763,,,26.2722505,84.1102253,
764,,,26.591865,83.6806199,
765,,,26.5391705,83.8264173,
766,,,26.5821028,83.907771,
767,,,26.5584812,83.937995,
768,,,26.5685734,83.8169995,
769,,,26.4775499,83.7016672,
770,,,26.347278,83.8173107,
771,,,26.3622683,83.791777,
772,,,26.2907601,83.8546264,
773,,,26.217787,83.964197,
774,,,26.2118666,83.9379914,
775,,,26.2639855,83.8043758,
776,,,26.3082854,83.6714187,
777,,,26.438627,83.6039108,
778,,,26.453299,83.887452,
779,,,26.378645,83.918028,
780,,,26.3534064,84.0594542,
781,,,26.3938239,84.0528409,
782,,,26.2851149,83.7930997,
783,,,26.5873133,83.7107291,
784,,,26.650739,83.764163,
785,,,26.6514099,83.826358,
